Tree,Node,Tree Level,Parent Node
CC_DEPARTMENT,261333,6,261000
CC_DEPARTMENT,261143,6,261000
CC_DEPARTMENT,261207,6,261000
CC_DEPARTMENT,430000,4,660000
CC_DEPARTMENT,433002,5,430000
CC_DEPARTMENT,435002,5,430000
CC_DEPARTMENT,434002,5,430000
CC_DEPARTMENT,170000,4,660000
CC_DEPARTMENT,171002,5,170000
CC_DEPARTMENT,140000,4,660000
CC_DEPARTMENT,141002,5,140000
CC_DEPARTMENT,860000,4,660000
CC_DEPARTMENT,440000,3,000000
CC_DEPARTMENT,804000,4,440000
CC_DEPARTMENT,400000,4,440000
CC_DEPARTMENT,615000,3,000000
CC_DEPARTMENT,620000,4,615000
CC_DEPARTMENT,621002,5,620000
CC_DEPARTMENT,157000,3,000000
CC_DEPARTMENT,110000,4,157000
CC_DEPARTMENT,200000,3,000000
CC_DEPARTMENT,251005,5,250000
CC_DEPARTMENT,252005,5,250000
CC_DEPARTMENT,203008,5,795000
CC_DEPARTMENT,203032,5,795000
CC_DEPARTMENT,271008,5,795000
CC_DEPARTMENT,272008,5,795000
CC_DEPARTMENT,273008,5,795000
CC_DEPARTMENT,221000,4,200000
CC_DEPARTMENT,222006,5,221000
CC_DEPARTMENT,222028,5,221000
CC_DEPARTMENT,222080,5,221000
CC_DEPARTMENT,225016,5,221000
CC_DEPARTMENT,225025,5,221000
CC_DEPARTMENT,225067,5,221000
CC_DEPARTMENT,225080,5,221000
CC_DEPARTMENT,225113,5,221000
CC_DEPARTMENT,225174,5,221000
CC_DEPARTMENT,225208,5,221000
CC_DEPARTMENT,225241,5,221000
CC_DEPARTMENT,225339,5,221000
CC_DEPARTMENT,224000,4,200000
CC_DEPARTMENT,224025,5,224000
CC_DEPARTMENT,224067,5,224000
CC_DEPARTMENT,224068,5,224000
CC_DEPARTMENT,224069,5,224000
CC_DEPARTMENT,224080,5,224000
CC_DEPARTMENT,224174,5,224000
CC_DEPARTMENT,224241,5,224000
CC_DEPARTMENT,228339,5,224000
CC_DEPARTMENT,226080,5,224000
CC_DEPARTMENT,205000,4,200000
CC_DEPARTMENT,206008,5,205000
CC_DEPARTMENT,208000,4,200000
CC_DEPARTMENT,208008,5,208000
CC_DEPARTMENT,209000,4,200000
CC_DEPARTMENT,223106,5,209000
CC_DEPARTMENT,237107,5,209000
CC_DEPARTMENT,237111,5,209000
CC_DEPARTMENT,207008,5,209000
CC_DEPARTMENT,203002,5,209000
CC_DEPARTMENT,231000,4,200000
CC_DEPARTMENT,673000,4,200000
CC_DEPARTMENT,186005,5,673000
CC_DEPARTMENT,183005,5,673000
CC_DEPARTMENT,184005,5,673000
CC_DEPARTMENT,181008,5,673000
CC_DEPARTMENT,672000,4,200000
CC_DEPARTMENT,191005,5,672000
CC_DEPARTMENT,192005,5,672000
CC_DEPARTMENT,193005,5,672000
CC_DEPARTMENT,671000,4,200000
CC_DEPARTMENT,152005,5,671000
CC_DEPARTMENT,151005,5,671000
CC_DEPARTMENT,280000,4,200000
CC_DEPARTMENT,282008,5,280000
CC_DEPARTMENT,210000,4,200000
CC_DEPARTMENT,215281,5,210000
CC_DEPARTMENT,215213,5,210000
CC_DEPARTMENT,215036,5,210000
CC_DEPARTMENT,751002,5,700000
CC_DEPARTMENT,752002,5,700000
CC_DEPARTMENT,710000,4,770000
CC_DEPARTMENT,711002,5,710000
CC_DEPARTMENT,780000,4,770000
CC_DEPARTMENT,741002,5,780000
CC_DEPARTMENT,761002,5,780000
CC_DEPARTMENT,781002,5,780000
CC_DEPARTMENT,215008,5,210000
CC_DEPARTMENT,211008,5,210000
CC_DEPARTMENT,211000,4,200000
CC_DEPARTMENT,202008,5,211000
CC_DEPARTMENT,202026,5,211000
CC_DEPARTMENT,290000,4,200000
CC_DEPARTMENT,291002,5,290000
CC_DEPARTMENT,300000,3,000000
CC_DEPARTMENT,310000,4,300000
CC_DEPARTMENT,325002,5,310000
CC_DEPARTMENT,322002,5,310000
CC_DEPARTMENT,322005,5,310000
CC_DEPARTMENT,322011,5,310000
CC_DEPARTMENT,322028,5,310000
CC_DEPARTMENT,322241,5,310000
CC_DEPARTMENT,321124,5,310000
CC_DEPARTMENT,311124,5,310000
CC_DEPARTMENT,322081,5,310000
CC_DEPARTMENT,311081,5,310000
CC_DEPARTMENT,311280,5,310000
CC_DEPARTMENT,321280,5,310000
CC_DEPARTMENT,323011,5,310000
CC_DEPARTMENT,324280,5,310000
CC_DEPARTMENT,324002,5,310000
CC_DEPARTMENT,310002,5,310000
CC_DEPARTMENT,313000,4,300000
CC_DEPARTMENT,313002,5,313000
CC_DEPARTMENT,322280,5,313000
CC_DEPARTMENT,322336,5,313000
CC_DEPARTMENT,320000,4,300000
CC_DEPARTMENT,322124,5,320000
CC_DEPARTMENT,311002,5,320000
CC_DEPARTMENT,330000,4,300000
CC_DEPARTMENT,337013,5,330000
CC_DEPARTMENT,336002,5,330000
CC_DEPARTMENT,335002,5,330000
CC_DEPARTMENT,332002,5,330000
CC_DEPARTMENT,334002,5,330000
CC_DEPARTMENT,331002,5,330000
CC_DEPARTMENT,442002,5,330000
CC_DEPARTMENT,862281,5,330000
CC_DEPARTMENT,172002,5,172000
CC_DEPARTMENT,261000,5,172000
CC_DEPARTMENT,261318,6,261000
CC_DEPARTMENT,261271,6,261000
CC_DEPARTMENT,261208,6,261000
CC_DEPARTMENT,261180,6,261000
CC_DEPARTMENT,261331,6,261000
CC_DEPARTMENT,261332,6,261000
CC_DEPARTMENT,261328,6,261000
CC_DEPARTMENT,261325,6,261000
CC_DEPARTMENT,261419,6,261000
CC_DEPARTMENT,261418,6,261000
CC_DEPARTMENT,261309,6,261000
CC_DEPARTMENT,261324,6,261000
CC_DEPARTMENT,261321,6,261000
CC_DEPARTMENT,261320,6,261000
CC_DEPARTMENT,261417,6,261000
CC_DEPARTMENT,261319,6,261000
CC_DEPARTMENT,261316,6,261000
CC_DEPARTMENT,261307,6,261000
CC_DEPARTMENT,261303,6,261000
CC_DEPARTMENT,261302,6,261000
CC_DEPARTMENT,261301,6,261000
CC_DEPARTMENT,261202,6,261000
CC_DEPARTMENT,000000,1,
CC_DEPARTMENT,105000,3,000000
CC_DEPARTMENT,100000,4,105000
CC_DEPARTMENT,101002,5,100000
CC_DEPARTMENT,160000,3,000000
CC_DEPARTMENT,160002,4,160000
CC_DEPARTMENT,161002,5,160002
CC_DEPARTMENT,770000,3,000000
CC_DEPARTMENT,700000,4,770000
CC_DEPARTMENT,721002,5,700000
CC_DEPARTMENT,730000,4,770000
CC_DEPARTMENT,731002,5,730000
CC_DEPARTMENT,135000,4,770000
CC_DEPARTMENT,111000,3,000000
CC_DEPARTMENT,115000,4,111000
CC_DEPARTMENT,112002,5,115000
CC_DEPARTMENT,111003,5,115000
CC_DEPARTMENT,111002,5,115000
CC_DEPARTMENT,121000,3,000000
CC_DEPARTMENT,120000,4,121000
CC_DEPARTMENT,121012,5,120000
CC_DEPARTMENT,245000,3,000000
CC_DEPARTMENT,102000,4,245000
CC_DEPARTMENT,102002,5,102000
CC_DEPARTMENT,240000,4,245000
CC_DEPARTMENT,241080,5,240000
CC_DEPARTMENT,155000,4,245000
CC_DEPARTMENT,182005,5,155000
CC_DEPARTMENT,156002,5,155000
CC_DEPARTMENT,150000,4,245000
CC_DEPARTMENT,150002,5,150000
CC_DEPARTMENT,660000,3,000000
CC_DEPARTMENT,640000,4,660000
CC_DEPARTMENT,641002,5,640000
CC_DEPARTMENT,643002,5,640000
CC_DEPARTMENT,630000,4,660000
CC_DEPARTMENT,805000,4,660000
CC_DEPARTMENT,805202,5,805000
CC_DEPARTMENT,261289,6,261000
CC_DEPARTMENT,261416,6,261000
CC_DEPARTMENT,811002,6,805202
CC_DEPARTMENT,831002,6,805202
CC_DEPARTMENT,823002,6,805202
CC_DEPARTMENT,832002,6,805202
CC_DEPARTMENT,841002,6,805202
CC_DEPARTMENT,890002,6,805202
CC_DEPARTMENT,846002,6,805202
CC_DEPARTMENT,805302,5,805000
CC_DEPARTMENT,833002,6,805302
CC_DEPARTMENT,834002,6,805302
CC_DEPARTMENT,118000,4,660000
CC_DEPARTMENT,116002,5,118000
CC_DEPARTMENT,117002,5,118000
CC_DEPARTMENT,118002,5,118000
CC_DEPARTMENT,172000,4,660000
CC_DEPARTMENT,261204,6,261000
CC_DEPARTMENT,261295,6,261000
CC_DEPARTMENT,261291,6,261000
CC_DEPARTMENT,261290,6,261000
CC_DEPARTMENT,261288,6,261000
CC_DEPARTMENT,261278,6,261000
CC_DEPARTMENT,261268,6,261000
CC_DEPARTMENT,261267,6,261000
CC_DEPARTMENT,261422,6,261000
CC_DEPARTMENT,261260,6,261000
CC_DEPARTMENT,261259,6,261000
CC_DEPARTMENT,261256,6,261000
CC_DEPARTMENT,261248,6,261000
CC_DEPARTMENT,261247,6,261000
CC_DEPARTMENT,261421,6,261000
CC_DEPARTMENT,261244,6,261000
CC_DEPARTMENT,261415,6,261000
CC_DEPARTMENT,261231,6,261000
CC_DEPARTMENT,261224,6,261000
CC_DEPARTMENT,261220,6,261000
CC_DEPARTMENT,234229,5,231000
CC_DEPARTMENT,234008,5,231000
CC_DEPARTMENT,232314,5,231000
CC_DEPARTMENT,233155,5,231000
CC_DEPARTMENT,233008,5,231000
CC_DEPARTMENT,264233,5,231000
CC_DEPARTMENT,232008,5,231000
CC_DEPARTMENT,264232,5,231000
CC_DEPARTMENT,264236,5,231000
CC_DEPARTMENT,231008,5,231000
CC_DEPARTMENT,264234,5,231000
CC_DEPARTMENT,235000,4,200000
CC_DEPARTMENT,264235,5,235000
CC_DEPARTMENT,235008,5,235000
CC_DEPARTMENT,235249,5,235000
CC_DEPARTMENT,238000,4,200000
CC_DEPARTMENT,236008,5,238000
CC_DEPARTMENT,236080,5,238000
CC_DEPARTMENT,236009,5,238000
CC_DEPARTMENT,236067,5,238000
CC_DEPARTMENT,236255,5,238000
CC_DEPARTMENT,239000,4,200000
CC_DEPARTMENT,232313,5,239000
CC_DEPARTMENT,233067,5,239000
CC_DEPARTMENT,234228,5,239000
CC_DEPARTMENT,235252,5,239000
CC_DEPARTMENT,235184,5,239000
CC_DEPARTMENT,235254,5,239000
CC_DEPARTMENT,674000,4,200000
CC_DEPARTMENT,196005,5,674000
CC_DEPARTMENT,197005,5,674000
CC_DEPARTMENT,187005,5,674000
CC_DEPARTMENT,261219,6,261000
CC_DEPARTMENT,261413,6,261000
CC_DEPARTMENT,261212,6,261000
CC_DEPARTMENT,261211,6,261000
CC_DEPARTMENT,261206,6,261000
CC_DEPARTMENT,261205,6,261000
CC_DEPARTMENT,261201,6,261000
CC_DEPARTMENT,261200,6,261000
CC_DEPARTMENT,261199,6,261000
CC_DEPARTMENT,261414,6,261000
CC_DEPARTMENT,261191,6,261000
CC_DEPARTMENT,261412,6,261000
CC_DEPARTMENT,261189,6,261000
CC_DEPARTMENT,261411,6,261000
CC_DEPARTMENT,261183,6,261000
CC_DEPARTMENT,261181,6,261000
CC_DEPARTMENT,261177,6,261000
CC_DEPARTMENT,261173,6,261000
CC_DEPARTMENT,261501,6,261000
CC_DEPARTMENT,261165,6,261000
CC_DEPARTMENT,261410,6,261000
CC_DEPARTMENT,261151,6,261000
CC_DEPARTMENT,261148,6,261000
CC_DEPARTMENT,261409,6,261000
CC_DEPARTMENT,261420,6,261000
CC_DEPARTMENT,261146,6,261000
CC_DEPARTMENT,261145,6,261000
CC_DEPARTMENT,261141,6,261000
CC_DEPARTMENT,261408,6,261000
CC_DEPARTMENT,261134,6,261000
CC_DEPARTMENT,261407,6,261000
CC_DEPARTMENT,261406,6,261000
CC_DEPARTMENT,261126,6,261000
CC_DEPARTMENT,261128,6,261000
CC_DEPARTMENT,261121,6,261000
CC_DEPARTMENT,261123,6,261000
CC_DEPARTMENT,261120,6,261000
CC_DEPARTMENT,261112,6,261000
CC_DEPARTMENT,261104,6,261000
CC_DEPARTMENT,261405,6,261000
CC_DEPARTMENT,261099,6,261000
CC_DEPARTMENT,261404,6,261000
CC_DEPARTMENT,261085,6,261000
CC_DEPARTMENT,261069,6,261000
CC_DEPARTMENT,261403,6,261000
CC_DEPARTMENT,261182,6,261000
CC_DEPARTMENT,261402,6,261000
CC_DEPARTMENT,261058,6,261000
CC_DEPARTMENT,261056,6,261000
CC_DEPARTMENT,261054,6,261000
CC_DEPARTMENT,261043,6,261000
CC_DEPARTMENT,261040,6,261000
CC_DEPARTMENT,261038,6,261000
CC_DEPARTMENT,261197,6,261000
CC_DEPARTMENT,261430,6,261000
CC_DEPARTMENT,261032,6,261000
CC_DEPARTMENT,261022,6,261000
CC_DEPARTMENT,261002,6,261000
CC_DEPARTMENT,261401,6,261000
CC_DEPARTMENT,267005,6,261000
CC_DEPARTMENT,261122,6,261000
CC_DEPARTMENT,261018,6,261000
CC_DEPARTMENT,261005,6,261000
CC_DEPARTMENT,261080,6,261000
CC_DEPARTMENT,261070,6,261000
CC_DEPARTMENT,253005,5,250000
CC_DEPARTMENT,204008,5,204000
CC_DEPARTMENT,204000,4,200000
CC_DEPARTMENT,250000,4,200000
CC_DEPARTMENT,871002,6,805202
CC_DEPARTMENT,861002,5,860000
CC_DEPARTMENT,424002,5,204000
CC_DEPARTMENT,131002,5,135000
CC_DEPARTMENT,423002,5,310000
CC_DEPARTMENT,861204,5,460000
CC_DEPARTMENT,795000,4,200000
CC_DEPARTMENT,274008,5,795000
CC_DEPARTMENT,460000,4,200000
CC_DEPARTMENT,461204,5,460000
CC_DEPARTMENT,631002,5,630000
CC_DEPARTMENT,132002,5,135000
CC_DEPARTMENT,133002,5,135000
CC_DEPARTMENT,805402,5,804000
CC_DEPARTMENT,421002,5,400000
CC_DEPARTMENT,110002,5,110000
CC_DEPARTMENT,153005,5,671000
CC_DEPARTMENT,213002,5,210000
CC_DEPARTMENT,134002,5,135000
CC_DEPARTMENT,632002,5,630000
CC_DEPARTMENT,633002,5,630000
CC_DEPARTMENT,821002,6,805202
CC_DEPARTMENT,822002,6,805202
CC_DEPARTMENT,263077,6,116002
CC_DEPARTMENT,263106,6,116002
CC_DEPARTMENT,263123,6,116002
CC_DEPARTMENT,861108,5,860000
CC_DEPARTMENT,262077,5,804000
CC_DEPARTMENT,425002,5,400000
CC_DEPARTMENT,426002,5,400000
CC_DEPARTMENT,443002,5,400000
CC_DEPARTMENT,528103,5,110000
CC_DEPARTMENT,521002,5,110000
CC_DEPARTMENT,275008,5,110000
CC_DEPARTMENT,152011,5,671000
CC_DEPARTMENT,215001,5,210000
