Approvers, 1443,
Dept/Loc,User ID,Appr Level
805000,LRAMIREZ,08
313000,JDALTON,08
221000,KPETIT,01
221000,CCHANEY,01
224000,SMILLS,01
224000,PLABITUE,01
231000,EULLOA-MURRAY,01
231000,CSHEA,01
231000,AGORDON,01
235000,TTHIBODEAUX,01
238000,MROMAIN,01
238000,AISIDOR,01
239000,MHARRIGAN,01
239000,JMCQUIGGAN,01
860000,MRUNKEL,01
140000,WDECOSTE,01
140000,TJOHNSON,01
400000,NEASLEY,01
400000,FSCABIN,01
250000,SPATEL,01
280000,RCREEDON,01
671000,DPAYNE,01
672000,JBUONOPANE,01
795000,RGUPTILL,01
805000,PBRANDLEY,01
240000,SCULP,01
240000,HDURSO,01
290000,CJOYCE-HARRINGTON,01
310000,SMCDONNELL,01
310000,CGUIOD,01
310000,BDONOVAN,01
320000,JTHORNTON,01
320000,DPETERSEN,01
330000,JCHAN,01
430000,SGROFF,01
430000,KSILVA,01
430000,DMETRAUX,01
630000,MRUNKEL,01
640000,MRUNKEL,01
673000,JGAUTHIER,01
674000,EBAIRD,01
700000,JBROCHU,01
710000,TKING,01
710000,JRAMSAY,01
710000,DTRIBONE,01
710000,CJORDAN,01
780000,SSULLIVAN,01
730000,MD'ANGELO,01
313000,JSARIN,01
620000,RBAIN,01
620000,LPAGETSEEKINS,01
804000,NEASLEY,01
804000,JCARREIRO,01
100000,MRUNKEL,01
102000,RSAMPSON,01
102000,LBRELSFORD,01
106000,MFULLER,01
110000,TKING,01
110000,JRAMSAY,01
110000,DTRIBONE,01
110000,CJORDAN,01
115000,MVERSECKES,01
118000,NOLIVEIRA,01
118000,MMORAN,01
118000,LONEILL,01
118000,KGROGAN,01
118000,KDOHERTY,01
118000,DBARKER,01
120000,PGREEN,01
135000,MFERNANDES2,01
155000,MDONAGHY,01
155000,ABRENNAN,01
160000,SCOBB,01
170000,MRUNKEL,01
172000,EMROWE,01
204000,WDECOSTE,01
205000,SGARCIA,01
208000,WDECOSTE,01
208000,TJOHNSON,01
209000,EBELANGER,01
209000,DSOULE,01
210000,MLANNIN,01
210000,KAUBUCHON,01
221000,DHART,02
224000,KBURNS,02
231000,EULLOA-MURRAY,02
231000,CSHEA,02
231000,AGORDON,02
235000,TTHIBODEAUX,02
238000,MROMAIN,02
238000,AISIDOR,02
239000,KWOOLLARD,02
239000,JBERRY,02
860000,MRUNKEL,02
140000,WDECOSTE,02
140000,TJOHNSON,02
400000,NEASLEY,02
400000,FSCABIN,02
250000,SPATEL,02
280000,RCREEDON,02
671000,DPAYNE,02
672000,JBUONOPANE,02
795000,HHUME,02
795000,AHARRINGTON,02
805000,PBRANDLEY,02
240000,SCULP,02
240000,HDURSO,02
290000,MHULAK,02
310000,JAALTO,02
310000,BLARKIN,02
320000,JAALTO,02
320000,CJACOBSON,02
330000,JCHAN,02
430000,SGROFF,02
430000,KSILVA,02
430000,DMETRAUX,02
630000,MRUNKEL,02
640000,MRUNKEL,02
673000,JGAUTHIER,02
674000,EBAIRD,02
700000,JBROCHU,02
710000,JRAMSAY,02
710000,DTRIBONE,02
710000,CHOWZE,02
780000,KLEGROW,02
730000,MD'ANGELO,02
313000,JSARIN,02
620000,RBAIN,02
620000,LPAGETSEEKINS,02
804000,NEASLEY,02
804000,JCARREIRO,02
100000,MRUNKEL,02
102000,RSAMPSON,02
102000,LBRELSFORD,02
106000,MFULLER,02
110000,JRAMSAY,02
110000,DTRIBONE,02
110000,CHOWZE,02
115000,MVERSECKES,02
118000,WKINGKADE,02
118000,MMORAN,02
118000,DBARKER,02
118000,AVENEZIANO,02
120000,RSULLIVAN,02
120000,KGREEN,02
135000,MFERNANDES2,02
155000,ABRENNAN,02
160000,SCOBB,02
170000,MRUNKEL,02
172000,EMROWE,02
204000,WDECOSTE,02
205000,SGARCIA,02
208000,WDECOSTE,02
208000,TJOHNSON,02
209000,PFFLYNN,02
209000,JGENTILUCCI,02
210000,MLANNIN,02
221000,HPRANSKY,03
224000,DCARNEY,03
231000,NMICHAUD,03
235000,NMICHAUD,03
238000,TGJOHNSON,03
860000,MRUNKEL,03
140000,TJOHNSON,03
400000,MOUHADI,03
400000,FSCABIN,03
221000,KPETIT,01
221000,CCHANEY,01
224000,SMILLS,01
224000,PLABITUE,01
231000,EULLOA-MURRAY,01
231000,CSHEA,01
231000,AGORDON,01
235000,TTHIBODEAUX,01
238000,MROMAIN,01
238000,AISIDOR,01
239000,MHARRIGAN,01
239000,JMCQUIGGAN,01
860000,MRUNKEL,01
140000,WDECOSTE,01
140000,TJOHNSON,01
400000,NEASLEY,01
400000,FSCABIN,01
250000,SPATEL,01
280000,RCREEDON,01
671000,DPAYNE,01
672000,JBUONOPANE,01
795000,RGUPTILL,01
805000,PBRANDLEY,01
240000,SCULP,01
240000,HDURSO,01
290000,CJOYCE-HARRINGTON,01
310000,SMCDONNELL,01
310000,CGUIOD,01
310000,BDONOVAN,01
320000,JTHORNTON,01
320000,DPETERSEN,01
330000,JCHAN,01
430000,SGROFF,01
430000,KSILVA,01
430000,DMETRAUX,01
630000,MRUNKEL,01
640000,MRUNKEL,01
673000,JGAUTHIER,01
674000,EBAIRD,01
700000,JBROCHU,01
710000,TKING,01
710000,JRAMSAY,01
710000,DTRIBONE,01
710000,CJORDAN,01
780000,SSULLIVAN,01
730000,MD'ANGELO,01
313000,JSARIN,01
620000,RBAIN,01
620000,LPAGETSEEKINS,01
804000,NEASLEY,01
804000,JCARREIRO,01
100000,MRUNKEL,01
102000,RSAMPSON,01
102000,LBRELSFORD,01
106000,MFULLER,01
110000,TKING,01
110000,JRAMSAY,01
110000,DTRIBONE,01
110000,CJORDAN,01
115000,MVERSECKES,01
118000,NOLIVEIRA,01
118000,MMORAN,01
118000,LONEILL,01
118000,KGROGAN,01
118000,KDOHERTY,01
118000,DBARKER,01
120000,PGREEN,01
135000,MFERNANDES2,01
155000,MDONAGHY,01
155000,ABRENNAN,01
160000,SCOBB,01
170000,MRUNKEL,01
172000,EMROWE,01
204000,WDECOSTE,01
205000,SGARCIA,01
208000,WDECOSTE,01
208000,TJOHNSON,01
209000,EBELANGER,01
209000,DSOULE,01
210000,MLANNIN,01
210000,KAUBUCHON,01
221000,DHART,02
224000,KBURNS,02
231000,EULLOA-MURRAY,02
231000,CSHEA,02
231000,AGORDON,02
235000,TTHIBODEAUX,02
238000,MROMAIN,02
238000,AISIDOR,02
239000,KWOOLLARD,02
239000,JBERRY,02
860000,MRUNKEL,02
140000,WDECOSTE,02
140000,TJOHNSON,02
400000,NEASLEY,02
400000,FSCABIN,02
250000,SPATEL,02
280000,RCREEDON,02
671000,DPAYNE,02
672000,JBUONOPANE,02
795000,HHUME,02
795000,AHARRINGTON,02
805000,PBRANDLEY,02
240000,SCULP,02
240000,HDURSO,02
290000,MHULAK,02
310000,JAALTO,02
310000,BLARKIN,02
320000,JAALTO,02
320000,CJACOBSON,02
330000,JCHAN,02
430000,SGROFF,02
430000,KSILVA,02
430000,DMETRAUX,02
630000,MRUNKEL,02
640000,MRUNKEL,02
673000,JGAUTHIER,02
674000,EBAIRD,02
700000,JBROCHU,02
710000,JRAMSAY,02
710000,DTRIBONE,02
710000,CHOWZE,02
780000,KLEGROW,02
730000,MD'ANGELO,02
313000,JSARIN,02
620000,RBAIN,02
620000,LPAGETSEEKINS,02
804000,NEASLEY,02
804000,JCARREIRO,02
100000,MRUNKEL,02
102000,RSAMPSON,02
102000,LBRELSFORD,02
106000,MFULLER,02
110000,JRAMSAY,02
110000,DTRIBONE,02
110000,CHOWZE,02
115000,MVERSECKES,02
118000,WKINGKADE,02
118000,MMORAN,02
118000,DBARKER,02
118000,AVENEZIANO,02
120000,RSULLIVAN,02
120000,KGREEN,02
135000,MFERNANDES2,02
155000,ABRENNAN,02
160000,SCOBB,02
170000,MRUNKEL,02
172000,EMROWE,02
204000,WDECOSTE,02
205000,SGARCIA,02
208000,WDECOSTE,02
208000,TJOHNSON,02
209000,PFFLYNN,02
209000,JGENTILUCCI,02
210000,MLANNIN,02
221000,HPRANSKY,03
224000,DCARNEY,03
231000,NMICHAUD,03
235000,NMICHAUD,03
238000,TGJOHNSON,03
860000,MRUNKEL,03
140000,TJOHNSON,03
400000,MOUHADI,03
400000,FSCABIN,03
250000,SPATEL,03
280000,RCREEDON,03
671000,DPAYNE,03
672000,JBUONOPANE,03
795000,MDULLEA,03
805000,PBRANDLEY,03
240000,SCULP,03
240000,HDURSO,03
290000,MHULAK,03
310000,JAALTO,03
310000,BLARKIN,03
320000,JAALTO,03
320000,CJACOBSON,03
330000,JCHAN,03
430000,SGROFF,03
430000,KSILVA,03
430000,DMETRAUX,03
630000,MRUNKEL,03
640000,MRUNKEL,03
673000,JGAUTHIER,03
674000,EBAIRD,03
700000,JBROCHU,03
710000,JRAMSAY,03
710000,DTRIBONE,03
710000,CHOWZE,03
780000,KLEGROW,03
730000,MD'ANGELO,03
313000,DPETERSEN,03
620000,RBAIN,03
620000,LPAGETSEEKINS,03
804000,JCARREIRO,03
100000,MRUNKEL,03
102000,RSAMPSON,03
102000,LBRELSFORD,03
106000,MFULLER,03
110000,JRAMSAY,03
110000,DTRIBONE,03
110000,CHOWZE,03
115000,MVERSECKES,03
118000,WKINGKADE,03
118000,DBARKER,03
118000,AVENEZIANO,03
120000,RSULLIVAN,03
120000,KGREEN,03
135000,JTYNES,03
155000,ABRENNAN,03
160000,SCOBB,03
170000,MRUNKEL,03
172000,EMROWE,03
204000,WWOLFGANG,03
205000,TJOHNSON,03
208000,TJOHNSON,03
209000,WGRIFFITHS,03
209000,SHICKS,03
210000,MLANNIN,03
231000,NMICHAUD,04
235000,NMICHAUD,04
238000,TGJOHNSON,04
860000,MRUNKEL,04
140000,TJOHNSON,04
400000,NEASLEY,04
400000,MOUHADI,04
250000,WREED,04
250000,SPATEL,04
280000,RCREEDON,04
671000,JGUSHUE,04
672000,JMCNALL,04
795000,MDULLEA,04
805000,PBRANDLEY,04
240000,SCULP,04
240000,HDURSO,04
290000,BSCHUTZMAN,04
310000,JAALTO,04
310000,BLARKIN,04
320000,JAALTO,04
320000,CJACOBSON,04
330000,JCHAN,04
430000,GFOSTER,04
630000,MRUNKEL,04
640000,MRUNKEL,04
673000,JCHEEVER,04
674000,WCHARRETTE,04
700000,JBROCHU,04
710000,JRAMSAY,04
780000,KLEGROW,04
730000,MD'ANGELO,04
313000,DPETERSEN,04
620000,RBAIN,04
620000,LPAGETSEEKINS,04
804000,NEASLEY,04
100000,MRUNKEL,04
102000,RSAMPSON,04
102000,LBRELSFORD,04
106000,MRUNKEL,04
110000,JRAMSAY,04
115000,MRUNKEL,04
118000,WKINGKADE,04
118000,DBARKER,04
118000,AVENEZIANO,04
120000,RSULLIVAN,04
120000,KGREEN,04
135000,JTYNES,04
155000,ABRENNAN,04
160000,SCOBB,04
170000,MRUNKEL,04
172000,EMROWE,04
204000,WWOLFGANG,04
205000,TJOHNSON,04
208000,TJOHNSON,04
209000,WGRIFFITHS,04
209000,SHICKS,04
210000,SADKINS,04
210000,RCOHOLAN,04
231000,TGJOHNSON,05
235000,TGJOHNSON,05
238000,TGJOHNSON,05
860000,MABRAMO,05
140000,TBEASLEY,05
250000,ESTOOTHOFF,05
280000,TGJOHNSON,05
671000,ESTOOTHOFF,05
672000,ESTOOTHOFF,05
795000,JCASEY2,05
805000,PBRANDLEY,05
805000,NEASLEY,05
805000,JPAGLIUCA,05
805000,JCONNOLLY,05
240000,RNICKLE,05
290000,BSCHUTZMAN,05
310000,JAALTO,05
310000,BLARKIN,05
320000,JDALTON,05
320000,BLARKIN,05
330000,JCHAN,05
430000,GFOSTER,05
630000,MABRAMO,05
640000,MABRAMO,05
673000,ESTOOTHOFF,05
674000,ESTOOTHOFF,05
700000,JBROCHU,05
710000,MABRAMO,05
780000,JSAINTCYR,05
730000,MD'ANGELO,05
313000,JDALTON,05
620000,MABRAMO,05
100000,MABRAMO,05
102000,MABRAMO,05
102000,LBRELSFORD,05
106000,MABRAMO,05
110000,MABRAMO,05
115000,MABRAMO,05
118000,DBSCHACHTER,05
120000,KGREEN,05
135000,JTYNES,05
155000,MABRAMO,05
160000,MBREEN,05
170000,MABRAMO,05
172000,EMROWE,05
204000,ESTOOTHOFF,05
205000,JGONNEVILLE,05
208000,TBEASLEY,05
209000,WGRIFFITHS,05
209000,SHICKS,05
210000,RCOHOLAN,05
210000,JRAY,05
231000,PBRANDLEY,06
400000,NEASLEY,06
805000,MABRAMO,06
240000,RNICKLE,06
290000,BSCHUTZMAN,06
310000,JAALTO,06
310000,BLARKIN,06
320000,JDALTON,06
320000,BLARKIN,06
330000,JCHAN,06
430000,GFOSTER,06
780000,JSAINTCYR,06
313000,JDALTON,06
102000,LBRELSFORD,06
118000,DBSCHACHTER,06
135000,JTYNES,06
172000,EMROWE,06
209000,JGONNEVILLE,06
210000,JRAY,06
221000,JGONNEVILLE,07
224000,JGONNEVILLE,07
239000,JGONNEVILLE,07
805000,PBRANDLEY,07
805000,MABRAMO,07
310000,BLARKIN,07
313000,JDALTON,07
102000,KYU,00
106000,KYU,00
110000,KYU,00
115000,KYU,00
118000,KYU,00
120000,KYU,00
135000,KYU,00
155000,KYU,00
160000,KYU,00
170000,KYU,00
172000,KYU,00
204000,KYU,00
205000,KYU,00
208000,KYU,00
209000,KYU,00
210000,KYU,00
240000,KYU,00
290000,KYU,00
310000,KYU,00
313000,KYU,00
320000,KYU,00
330000,KYU,00
430000,KYU,00
620000,KYU,00
630000,KYU,00
640000,KYU,00
673000,KYU,00
674000,KYU,00
700000,KYU,00
710000,KYU,00
730000,KYU,00
780000,KYU,00
100000,CDECOSTE,00
102000,CDECOSTE,00
106000,CDECOSTE,00
110000,CDECOSTE,00
115000,CDECOSTE,00
118000,CDECOSTE,00
120000,CDECOSTE,00
135000,CDECOSTE,00
155000,CDECOSTE,00
160000,CDECOSTE,00
170000,CDECOSTE,00
172000,CDECOSTE,00
204000,CDECOSTE,00
205000,CDECOSTE,00
208000,CDECOSTE,00
209000,CDECOSTE,00
210000,CDECOSTE,00
240000,CDECOSTE,00
290000,CDECOSTE,00
310000,CDECOSTE,00
313000,CDECOSTE,00
320000,CDECOSTE,00
330000,CDECOSTE,00
430000,CDECOSTE,00
620000,CDECOSTE,00
630000,CDECOSTE,00
640000,CDECOSTE,00
673000,CDECOSTE,00
674000,CDECOSTE,00
700000,CDECOSTE,00
710000,CDECOSTE,00
730000,CDECOSTE,00
780000,CDECOSTE,00
100000,JKEARNEY,00
102000,JKEARNEY,00
106000,JKEARNEY,00
110000,JKEARNEY,00
115000,JKEARNEY,00
118000,JKEARNEY,00
120000,JKEARNEY,00
135000,JKEARNEY,00
155000,JKEARNEY,00
160000,JKEARNEY,00
170000,JKEARNEY,00
172000,JKEARNEY,00
204000,JKEARNEY,00
205000,JKEARNEY,00
208000,JKEARNEY,00
209000,JKEARNEY,00
210000,JKEARNEY,00
240000,JKEARNEY,00
290000,JKEARNEY,00
310000,JKEARNEY,00
313000,JKEARNEY,00
320000,JKEARNEY,00
330000,JKEARNEY,00
430000,JKEARNEY,00
620000,JKEARNEY,00
630000,JKEARNEY,00
640000,JKEARNEY,00
673000,JKEARNEY,00
674000,JKEARNEY,00
700000,JKEARNEY,00
710000,JKEARNEY,00
730000,JKEARNEY,00
780000,JKEARNEY,00
100000,TDALY,00
102000,TDALY,00
106000,TDALY,00
110000,TDALY,00
115000,TDALY,00
118000,TDALY,00
120000,TDALY,00
135000,TDALY,00
155000,TDALY,00
160000,TDALY,00
170000,TDALY,00
172000,TDALY,00
204000,TDALY,00
205000,TDALY,00
208000,TDALY,00
209000,TDALY,00
210000,TDALY,00
240000,TDALY,00
290000,TDALY,00
310000,TDALY,00
313000,TDALY,00
320000,TDALY,00
330000,TDALY,00
430000,TDALY,00
620000,TDALY,00
630000,TDALY,00
640000,TDALY,00
673000,TDALY,00
674000,TDALY,00
700000,TDALY,00
710000,TDALY,00
730000,TDALY,00
780000,TDALY,00
330000,MBAMONTE,00
239000,MBIANCHI,00
209000,MBURROWS,00
320000,MCANTOR,00
239000,MCRAVEN,00
310000,MCROWLEY,00
239000,MHECKER,00
135000,MMCDOWELL,00
209000,MSAVAGE,00
204000,MSILVA,00
673000,MSNOW,00
804000,MWHALEN,00
210000,NCADIGAN,00
231000,NORTIZ,00
240000,OSANCHEZ,00
290000,PBALCOM,00
310000,PBARE,00
290000,PFITZGERALD,00
795000,PHENNIGAN,00
804000,RCARIUS,00
100000,RCOMBS,00
239000,RDACEY,00
100000,REQWF100000,00
100000,REQWF101002,00
115000,REQWF112002,00
115000,REQWF115000,00
118000,REQWF118000,00
160000,REQWF160000,00
160000,REQWF161002,00
204000,REQWF204000,00
210000,REQWF210000,00
231000,REQWF231000,00
238000,REQWF238000,00
239000,REQWF239000,00
250000,REQWF250000,00
280000,REQWF280000,00
310000,REQWF310000,00
630000,REQWF630000,00
640000,REQWF640000,00
671000,REQWF671000,00
672000,REQWF672000,00
673000,REQWF673000,00
674000,REQWF674000,00
860000,REQWF860000,00
224000,RHALEY,00
310000,SBARROS,00
204000,SBULLOCK,00
239000,SCLARK,00
320000,SCRENAULT,00
430000,SDENICOLA,00
620000,SGARCIA2,00
673000,SKERINS,00
224000,SNETH,00
430000,SNWILLIAMS,00
205000,SOLEARY,00
120000,SSUPPAPINIJCHAI,00
700000,STAYLOR,00
673000,TAVELINO,00
330000,TLOGAN,00
780000,VRWILSON,00
238000,WCAMERON,00
673000,WFALLON,00
221000,WIOVEN,00
239000,WMAHAR,00
239000,WPELLEGRINE,00
224000,WWALSH,00
330000,WZIMMER,00
310000,YDUVERGE,00
172000,YPOULAKOS,00
100000,GSPAZIANI,00
102000,GSPAZIANI,00
106000,GSPAZIANI,00
